DateTime,State,State_postal,FIPS_state,S,E,I,I_acum,I_active,R
2020-01-22,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-23,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-24,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-25,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-26,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-27,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-28,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-29,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-30,Alabama,AL,01,4903185,0,0,0,0,0
2020-01-31,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-01,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-02,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-03,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-04,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-05,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-06,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-07,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-08,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-09,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-10,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-11,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-12,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-13,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-14,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-15,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-16,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-17,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-18,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-19,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-20,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-21,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-22,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-23,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-24,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-25,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-26,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-27,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-28,Alabama,AL,01,4903185,0,0,0,0,0
2020-02-29,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-01,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-02,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-03,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-04,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-05,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-06,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-07,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-08,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-09,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-10,Alabama,AL,01,4903185,0,0,0,0,0
2020-03-11,Alabama,AL,01,4903185,6,3,3,3,0
2020-03-12,Alabama,AL,01,4903185,8,1,4,4,0
2020-03-13,Alabama,AL,01,4903185,18,4,8,8,0
2020-03-14,Alabama,AL,01,4903185,37,7,15,15,0
2020-03-15,Alabama,AL,01,4903185,67,13,28,28,0
2020-03-16,Alabama,AL,01,4903185,89,8,36,36,0
2020-03-17,Alabama,AL,01,4903185,126,15,51,51,0
2020-03-18,Alabama,AL,01,4903185,150,10,61,61,0
2020-03-19,Alabama,AL,01,4903185,216,27,88,88,0
2020-03-20,Alabama,AL,01,4903185,284,27,115,115,0
2020-03-21,Alabama,AL,01,4903185,368,34,149,149,0
2020-03-22,Alabama,AL,01,4903185,446,31,180,180,0
2020-03-23,Alabama,AL,01,4903185,558,44,224,224,0
2020-03-24,Alabama,AL,01,4903185,741,74,298,298,0
2020-03-25,Alabama,AL,01,4903185,1173,174,472,472,1
2020-03-26,Alabama,AL,01,4903185,1423,102,574,571,0
2020-03-27,Alabama,AL,01,4903185,1693,110,684,680,3
2020-03-28,Alabama,AL,01,4903185,1979,117,801,793,0
2020-03-29,Alabama,AL,01,4903185,2158,79,880,865,6
2020-03-30,Alabama,AL,01,4903185,2432,121,1001,973,0
2020-03-31,Alabama,AL,01,4903185,2564,62,1063,1027,5
2020-04-01,Alabama,AL,01,4903185,2807,112,1175,1124,12
2020-04-02,Alabama,AL,01,4903185,3273,196,1371,1310,0
2020-04-03,Alabama,AL,01,4903185,3794,235,1606,1518,11
2020-04-04,Alabama,AL,01,4903185,4028,121,1727,1612,6
2020-04-05,Alabama,AL,01,4903185,4387,178,1905,1756,1
2020-04-06,Alabama,AL,01,4903185,4740,174,2079,1899,4
2020-04-07,Alabama,AL,01,4903185,5209,229,2308,2084,15
2020-04-08,Alabama,AL,01,4903185,5792,306,2614,2316,2
2020-04-09,Alabama,AL,01,4903185,6205,340,2954,2482,4
2020-04-10,Alabama,AL,01,4903185,6348,158,3112,2538,10
2020-04-11,Alabama,AL,01,4903185,6656,234,3346,2662,12
2020-04-12,Alabama,AL,01,4903185,7165,321,3667,2866,1
2020-04-13,Alabama,AL,01,4903185,7475,203,3870,2990,6
2020-04-14,Alabama,AL,01,4903185,7600,171,4041,3040,15
2020-04-15,Alabama,AL,01,4903185,8106,266,4307,3244,4
2020-04-16,Alabama,AL,01,4903185,8227,158,4465,3290,15
2020-04-17,Alabama,AL,01,4903185,7968,92,4557,3186,15
2020-04-18,Alabama,AL,01,4903185,7953,231,4788,3182,5
2020-04-19,Alabama,AL,01,4903185,8127,190,4978,3251,4
2020-04-20,Alabama,AL,01,4903185,8151,185,5163,3258,6
2020-04-21,Alabama,AL,01,4903185,8310,241,5404,3325,20
2020-04-22,Alabama,AL,01,4903185,8456,288,5692,3384,13
2020-04-23,Alabama,AL,01,4903185,8213,207,5899,3285,6
2020-04-24,Alabama,AL,01,4903185,7841,193,6092,3138,7
2020-04-25,Alabama,AL,01,4903185,7907,182,6274,3162,0
2020-04-26,Alabama,AL,01,4903185,7823,201,6475,3129,10
2020-04-27,Alabama,AL,01,4903185,7383,146,6621,2954,9
2020-04-28,Alabama,AL,01,4903185,7382,199,6820,2950,14
2020-04-29,Alabama,AL,01,4903185,7349,159,6979,2938,14
2020-04-30,Alabama,AL,01,4903185,7202,208,7187,2880,16
2020-05-01,Alabama,AL,01,4903185,7433,253,7440,2975,17
2020-05-02,Alabama,AL,01,4903185,7859,260,7700,3143,-1
2020-05-03,Alabama,AL,01,4903185,7978,277,7977,3189,2
2020-05-04,Alabama,AL,01,4903185,8064,226,8203,3225,8
2020-05-05,Alabama,AL,01,4903185,8393,317,8520,3357,17
2020-05-06,Alabama,AL,01,4903185,8412,249,8769,3365,28
2020-05-07,Alabama,AL,01,4903185,8556,346,9115,3423,26
2020-05-08,Alabama,AL,01,4903185,8841,322,9437,3538,14
2020-05-09,Alabama,AL,01,4903185,9065,283,9720,3628,7
2020-05-10,Alabama,AL,01,4903185,9266,262,9982,3708,3
2020-05-11,Alabama,AL,01,4903185,9467,280,10262,3787,10
2020-05-12,Alabama,AL,01,4903185,9856,304,10566,3945,32
2020-05-13,Alabama,AL,01,4903185,10011,256,10822,4002,15
2020-05-14,Alabama,AL,01,4903185,10457,339,11161,4182,23
2020-05-15,Alabama,AL,01,4903185,10763,333,11494,4307,10
2020-05-16,Alabama,AL,01,4903185,10967,334,11828,4388,2
2020-05-17,Alabama,AL,01,4903185,11094,309,12137,4437,3
2020-05-18,Alabama,AL,01,4903185,11152,301,12438,4461,1
2020-05-19,Alabama,AL,01,4903185,11559,387,12825,4622,15
2020-05-20,Alabama,AL,01,4903185,11666,361,13186,4666,18
2020-05-21,Alabama,AL,01,4903185,12056,404,13590,4821,7
2020-05-22,Alabama,AL,01,4903185,12092,364,13954,4839,12
2020-05-23,Alabama,AL,01,4903185,12222,374,14328,4891,8
2020-05-24,Alabama,AL,01,4903185,12390,348,14676,4956,2
2020-05-25,Alabama,AL,01,4903185,13317,633,15309,5327,15
2020-05-26,Alabama,AL,01,4903185,14092,590,15899,5637,14
2020-05-27,Alabama,AL,01,4903185,14241,364,16263,5697,3
2020-05-28,Alabama,AL,01,4903185,14819,486,16749,5927,8
2020-05-29,Alabama,AL,01,4903185,15247,513,17262,6101,19
2020-05-30,Alabama,AL,01,4903185,15485,427,17689,6195,8
2020-05-31,Alabama,AL,01,4903185,15929,511,18200,6372,12
2020-06-01,Alabama,AL,01,4903185,15969,325,18525,6388,14
2020-06-02,Alabama,AL,01,4903185,15742,209,18734,6296,7
2020-06-03,Alabama,AL,01,4903185,15322,220,18954,6129,0
2020-06-04,Alabama,AL,01,4903185,15192,308,19262,6076,0
2020-06-05,Alabama,AL,01,4903185,15797,648,19910,6320,21
2020-06-06,Alabama,AL,01,4903185,16007,445,20355,6401,13
2020-06-07,Alabama,AL,01,4903185,16123,422,20777,6449,3
2020-06-08,Alabama,AL,01,4903185,16487,491,21268,6592,26
2020-06-09,Alabama,AL,01,4903185,16313,566,21834,6525,11
2020-06-10,Alabama,AL,01,4903185,16901,825,22659,6760,14
2020-06-11,Alabama,AL,01,4903185,17765,711,23370,7107,11
2020-06-12,Alabama,AL,01,4903185,19138,1035,24405,7656,14
2020-06-13,Alabama,AL,01,4903185,20255,959,25364,8102,4
2020-06-14,Alabama,AL,01,4903185,21233,818,26182,8493,0
2020-06-15,Alabama,AL,01,4903185,20715,303,26485,8285,1
2020-06-16,Alabama,AL,01,4903185,21273,549,27034,8509,10
2020-06-17,Alabama,AL,01,4903185,23016,907,27941,9207,5
2020-06-18,Alabama,AL,01,4903185,24302,735,28676,9722,17
2020-06-19,Alabama,AL,01,4903185,24915,549,29225,9963,11
2020-06-20,Alabama,AL,01,4903185,24430,458,29683,9773,16
2020-06-21,Alabama,AL,01,4903185,24422,439,30122,9767,1
2020-06-22,Alabama,AL,01,4903185,24988,649,30771,9994,2
2020-06-23,Alabama,AL,01,4903185,26550,1118,31889,10621,23
2020-06-24,Alabama,AL,01,4903185,27608,989,32878,11044,25
2020-06-25,Alabama,AL,01,4903185,28055,1002,33880,11221,1
2020-06-26,Alabama,AL,01,4903185,28834,1023,34903,11533,7
2020-06-27,Alabama,AL,01,4903185,26693,180,35083,10678,11
2020-06-28,Alabama,AL,01,4903185,27846,1420,36503,11139,0
2020-06-29,Alabama,AL,01,4903185,28513,1086,37589,11407,7
2020-06-30,Alabama,AL,01,4903185,29987,888,38477,11992,21
2020-07-01,Alabama,AL,01,4903185,31534,1170,39647,12613,21
2020-07-02,Alabama,AL,01,4903185,33495,1693,41340,13399,14
2020-07-03,Alabama,AL,01,4903185,33941,915,42255,13579,22
2020-07-04,Alabama,AL,01,4903185,34975,961,43216,13991,1
2020-07-05,Alabama,AL,01,4903185,35847,806,44022,14339,0
2020-07-06,Alabama,AL,01,4903185,37022,910,44932,14810,0
2020-07-07,Alabama,AL,01,4903185,38939,1416,46348,15577,23
2020-07-08,Alabama,AL,01,4903185,40647,1801,48149,16260,25
2020-07-09,Alabama,AL,01,4903185,42041,1546,49695,16817,10
2020-07-10,Alabama,AL,01,4903185,43621,1634,51329,17449,35
2020-07-11,Alabama,AL,01,4903185,44746,1473,52802,17899,9
2020-07-12,Alabama,AL,01,4903185,49246,1979,54781,19698,7
2020-07-13,Alabama,AL,01,4903185,49160,1387,56168,19665,3
2020-07-14,Alabama,AL,01,4903185,51735,2116,58284,20695,40
2020-07-15,Alabama,AL,01,4903185,54293,1910,60194,21717,47
2020-07-16,Alabama,AL,01,4903185,56199,1934,62128,22481,17
2020-07-17,Alabama,AL,01,4903185,57032,2024,64152,22812,32
2020-07-18,Alabama,AL,01,4903185,59814,2029,66181,23926,21
2020-07-19,Alabama,AL,01,4903185,61290,1552,67733,24517,1
2020-07-20,Alabama,AL,01,4903185,63036,1503,69236,25214,3
2020-07-21,Alabama,AL,01,4903185,64172,1364,70600,25668,11
2020-07-22,Alabama,AL,01,4903185,65612,1994,72594,26246,57
2020-07-23,Alabama,AL,01,4903185,66343,2091,74685,26536,32
2020-07-24,Alabama,AL,01,4903185,67748,2110,76795,27100,38
2020-07-25,Alabama,AL,01,4903185,67145,1393,78188,26859,18
2020-07-26,Alabama,AL,01,4903185,67867,1760,79948,27146,15
2020-07-27,Alabama,AL,01,4903185,66192,1308,81256,26475,18
2020-07-28,Alabama,AL,01,4903185,66323,1442,82698,26530,0
2020-07-29,Alabama,AL,01,4903185,65917,1954,84652,26368,43
2020-07-30,Alabama,AL,01,4903185,66177,2012,86664,26470,27
2020-07-31,Alabama,AL,01,4903185,65346,1602,88266,26138,15
2020-08-01,Alabama,AL,01,4903185,65371,2033,90299,26147,22
2020-08-02,Alabama,AL,01,4903185,63196,1159,91458,25277,23
2020-08-03,Alabama,AL,01,4903185,61923,1044,92502,24769,4
2020-08-04,Alabama,AL,01,4903185,60551,955,93457,24221,31
2020-08-05,Alabama,AL,01,4903185,61807,1866,95323,24723,28
2020-08-06,Alabama,AL,01,4903185,61127,1721,97044,24450,15
2020-08-07,Alabama,AL,01,4903185,60520,1851,98895,24210,20
2020-08-08,Alabama,AL,01,4903185,57648,959,99854,23059,20
2020-08-09,Alabama,AL,01,4903185,58192,1612,101466,23278,13
2020-08-10,Alabama,AL,01,4903185,56111,925,102391,22443,26
2020-08-11,Alabama,AL,01,4903185,55575,1094,103485,22229,48
2020-08-12,Alabama,AL,01,4903185,53803,734,104219,21521,33
2020-08-13,Alabama,AL,01,4903185,50811,757,104976,20324,7
2020-08-14,Alabama,AL,01,4903185,48581,1120,106096,19432,4
2020-08-15,Alabama,AL,01,4903185,46652,830,106926,18660,3
2020-08-16,Alabama,AL,01,4903185,43422,741,107667,17368,2
2020-08-17,Alabama,AL,01,4903185,44082,1425,109092,17634,25
2020-08-18,Alabama,AL,01,4903185,44778,1323,110415,17913,12
2020-08-19,Alabama,AL,01,4903185,45595,1281,111696,18239,9
2020-08-20,Alabama,AL,01,4903185,43533,1041,112737,17414,29
2020-08-21,Alabama,AL,01,4903185,42924,1475,114212,17168,22
2020-08-22,Alabama,AL,01,4903185,39785,597,114809,15914,15
2020-08-23,Alabama,AL,01,4903185,39078,676,115485,15631,2
2020-08-24,Alabama,AL,01,4903185,36450,560,116045,14579,6
2020-08-25,Alabama,AL,01,4903185,39499,2145,118190,15799,9
2020-08-26,Alabama,AL,01,4903185,41051,1714,119904,16419,6
2020-08-27,Alabama,AL,01,4903185,42055,1137,121041,16822,25
2020-08-28,Alabama,AL,01,4903185,44758,1838,122879,17903,27
2020-08-29,Alabama,AL,01,4903185,45148,1276,124155,18059,42
2020-08-30,Alabama,AL,01,4903185,45047,789,124944,18018,8
2020-08-31,Alabama,AL,01,4903185,47080,1556,126500,18833,16
2020-09-01,Alabama,AL,01,4903185,45356,734,127234,18142,19
2020-09-02,Alabama,AL,01,4903185,44561,1006,128240,17825,12
2020-09-03,Alabama,AL,01,4903185,43821,985,129225,17529,6
2020-09-04,Alabama,AL,01,4903185,44098,1148,130373,17636,24
2020-09-05,Alabama,AL,01,4903185,41754,541,130914,16702,7
2020-09-06,Alabama,AL,01,4903185,42206,776,131690,16881,1
2020-09-07,Alabama,AL,01,4903185,41839,531,132221,16736,0
2020-09-08,Alabama,AL,01,4903185,42396,784,133005,16960,1
2020-09-09,Alabama,AL,01,4903185,39680,1056,134061,15871,8
2020-09-10,Alabama,AL,01,4903185,38084,1077,135138,15234,15
2020-09-11,Alabama,AL,01,4903185,37662,969,136107,15066,28
2020-09-12,Alabama,AL,01,4903185,35720,1059,137166,14287,13
2020-09-13,Alabama,AL,01,4903185,34270,695,137861,13706,1
2020-09-14,Alabama,AL,01,4903185,34190,758,138619,13675,3
2020-09-15,Alabama,AL,01,4903185,32903,1041,139660,13160,32
2020-09-16,Alabama,AL,01,4903185,32973,763,140423,13189,139
2020-09-17,Alabama,AL,01,4903185,33035,1031,141454,13214,9
2020-09-18,Alabama,AL,01,4903185,33851,1314,142768,13543,27
2020-09-19,Alabama,AL,01,4903185,33013,810,143578,13205,9
2020-09-20,Alabama,AL,01,4903185,33525,747,144325,13411,0
2020-09-21,Alabama,AL,01,4903185,33780,877,145202,13512,2
2020-09-22,Alabama,AL,01,4903185,34094,657,145859,13638,18
2020-09-23,Alabama,AL,01,4903185,34725,1038,146897,13892,31
2020-09-24,Alabama,AL,01,4903185,38003,2366,149263,15202,18
2020-09-25,Alabama,AL,01,4903185,37750,976,150239,15101,-15
2020-09-26,Alabama,AL,01,4903185,37144,726,150965,14858,10
2020-09-27,Alabama,AL,01,4903185,36093,639,151604,14438,0
2020-09-28,Alabama,AL,01,4903185,36220,746,152350,14489,0
2020-09-29,Alabama,AL,01,4903185,37415,1234,153584,14965,16
2020-09-30,Alabama,AL,01,4903185,37781,1188,154772,15112,23
2020-10-01,Alabama,AL,01,4903185,38257,955,155727,15304,8
2020-10-02,Alabama,AL,01,4903185,39875,1675,157402,15948,2
2020-10-03,Alabama,AL,01,4903185,38530,779,158181,15413,8
2020-10-04,Alabama,AL,01,4903185,37847,536,158717,15139,0
2020-10-05,Alabama,AL,01,4903185,37881,759,159476,15151,1
2020-10-06,Alabama,AL,01,4903185,38211,1009,160485,15283,21
2020-10-07,Alabama,AL,01,4903185,38061,600,161085,15226,21
2020-10-08,Alabama,AL,01,4903185,39467,1598,162683,15786,36
2020-10-09,Alabama,AL,01,4903185,36584,1214,163897,14634,16
2020-10-10,Alabama,AL,01,4903185,36150,801,164698,14459,11
2020-10-11,Alabama,AL,01,4903185,36122,716,165414,14449,0
2020-10-12,Alabama,AL,01,4903185,37270,1100,166514,14910,1
2020-10-13,Alabama,AL,01,4903185,37617,882,167396,15046,0
2020-10-14,Alabama,AL,01,4903185,37592,1224,168620,15036,41
2020-10-15,Alabama,AL,01,4903185,37689,1225,169845,15073,50
2020-10-16,Alabama,AL,01,4903185,38572,1312,171157,15430,30
2020-10-17,Alabama,AL,01,4903185,36834,980,172137,14735,2
2020-10-18,Alabama,AL,01,4903185,37052,865,173002,14821,0
2020-10-19,Alabama,AL,01,4903185,38410,1076,174078,15361,1
2020-10-20,Alabama,AL,01,4903185,39337,1132,175210,15734,16
2020-10-21,Alabama,AL,01,4903185,40301,1395,176605,16120,23
2020-10-22,Alabama,AL,01,4903185,48378,3832,180437,19352,15
2020-10-23,Alabama,AL,01,4903185,49708,2130,182567,19884,16
2020-10-24,Alabama,AL,01,4903185,49834,1264,183831,19934,7
2020-10-25,Alabama,AL,01,4903185,50061,892,184723,20025,0
2020-10-26,Alabama,AL,01,4903185,51307,1215,185938,20524,0
2020-10-27,Alabama,AL,01,4903185,51882,1329,187267,20753,26
2020-10-28,Alabama,AL,01,4903185,53454,1508,188775,21379,19
2020-10-29,Alabama,AL,01,4903185,53728,1338,190113,21493,3
2020-10-30,Alabama,AL,01,4903185,55215,1819,191932,22087,18
2020-10-31,Alabama,AL,01,4903185,56145,1681,193613,22456,35
2020-11-01,Alabama,AL,01,4903185,55800,845,194458,22321,6
2020-11-02,Alabama,AL,01,4903185,56727,1234,195692,22690,0
2020-11-03,Alabama,AL,01,4903185,58562,1812,197504,23426,14
2020-11-04,Alabama,AL,01,4903185,59295,1423,198927,23717,19
2020-11-05,Alabama,AL,01,4903185,59810,1601,200528,23923,20
2020-11-06,Alabama,AL,01,4903185,54229,1603,202131,21694,23
2020-11-07,Alabama,AL,01,4903185,52376,1387,203518,20951,33
2020-11-08,Alabama,AL,01,4903185,52085,1147,204665,20834,2
2020-11-09,Alabama,AL,01,4903185,54499,1858,206523,21800,0
2020-11-10,Alabama,AL,01,4903185,51560,39,206562,20624,36
2020-11-11,Alabama,AL,01,4903185,53425,2075,208637,21370,81
2020-11-12,Alabama,AL,01,4903185,54658,2000,210637,21862,12
2020-11-13,Alabama,AL,01,4903185,58757,2980,213617,23504,18
2020-11-14,Alabama,AL,01,4903185,59778,2226,215843,23911,15
2020-11-15,Alabama,AL,01,4903185,60527,1979,217822,24209,2
2020-11-16,Alabama,AL,01,4903185,61934,1410,219232,24774,1
2020-11-17,Alabama,AL,01,4903185,62887,1616,220848,25156,52
2020-11-18,Alabama,AL,01,4903185,64954,2638,223486,25982,46
2020-11-19,Alabama,AL,01,4903185,67456,2424,225910,26983,72
2020-11-20,Alabama,AL,01,4903185,69610,2463,228373,27845,32
2020-11-21,Alabama,AL,01,4903185,71444,2335,230708,28577,6
2020-11-22,Alabama,AL,01,4903185,72468,1798,232506,28988,0
2020-11-23,Alabama,AL,01,4903185,73535,1574,234080,29415,2
2020-11-24,Alabama,AL,01,4903185,75856,2785,236865,30342,13
2020-11-25,Alabama,AL,01,4903185,81884,2453,239318,32756,60
2020-11-26,Alabama,AL,01,4903185,83300,2639,241957,33320,40
2020-11-27,Alabama,AL,01,4903185,80596,917,242874,32237,0
2020-11-28,Alabama,AL,01,4903185,78440,2119,244993,31376,0
2020-11-29,Alabama,AL,01,4903185,78467,2236,247229,31386,5
2020-11-30,Alabama,AL,01,4903185,79253,2295,249524,31702,1
2020-12-01,Alabama,AL,01,4903185,84169,3376,252900,33668,60
2020-12-02,Alabama,AL,01,4903185,89951,3928,256828,35980,73
2020-12-03,Alabama,AL,01,4903185,92183,3531,260359,36873,65
2020-12-04,Alabama,AL,01,4903185,95727,3840,264199,38289,55
2020-12-05,Alabama,AL,01,4903185,98043,3390,267589,39216,46
2020-12-06,Alabama,AL,01,4903185,97918,2288,269877,39169,12
2020-12-07,Alabama,AL,01,4903185,99310,2352,272229,39723,3
2020-12-08,Alabama,AL,01,4903185,106461,4436,276665,42585,50
2020-12-09,Alabama,AL,01,4903185,108299,3522,280187,43322,43
2020-12-10,Alabama,AL,01,4903185,114010,4735,284922,45604,49
2020-12-11,Alabama,AL,01,4903185,117043,3853,288775,46818,52
2020-12-12,Alabama,AL,01,4903185,124916,4066,292841,49967,16
2020-12-13,Alabama,AL,01,4903185,126596,2790,295631,50638,0
2020-12-14,Alabama,AL,01,4903185,126669,2264,297895,50666,0
2020-12-15,Alabama,AL,01,4903185,130025,3638,301533,52009,22
2020-12-16,Alabama,AL,01,4903185,131849,4107,305640,52740,74
2020-12-17,Alabama,AL,01,4903185,133767,4695,310335,53507,56
2020-12-18,Alabama,AL,01,4903185,138312,5348,315683,55324,42
2020-12-19,Alabama,AL,01,4903185,139261,4221,319904,55705,93
2020-12-20,Alabama,AL,01,4903185,137158,2548,322452,54863,0
2020-12-21,Alabama,AL,01,4903185,137389,2380,324832,54955,0
2020-12-22,Alabama,AL,01,4903185,143957,4979,329811,57582,63
2020-12-23,Alabama,AL,01,4903185,144760,4758,334569,57904,135
2020-12-24,Alabama,AL,01,4903185,146534,4232,338801,58614,89
2020-12-25,Alabama,AL,01,4903185,143758,3625,342426,57504,4
2020-12-26,Alabama,AL,01,4903185,136701,1032,343458,54683,5
2020-12-27,Alabama,AL,01,4903185,131969,2170,345628,52787,6
2020-12-28,Alabama,AL,01,4903185,130668,2269,347897,52266,21
2020-12-29,Alabama,AL,01,4903185,134772,3907,351804,53909,25
2020-12-30,Alabama,AL,01,4903185,138216,5016,356820,55287,37
2020-12-31,Alabama,AL,01,4903185,138961,4406,361226,55586,53
2021-01-01,Alabama,AL,01,4903185,138530,4521,365747,55412,45
2021-01-02,Alabama,AL,01,4903185,134436,3711,369458,53775,0
2021-01-03,Alabama,AL,01,4903185,130073,2476,371934,52030,1
2021-01-04,Alabama,AL,01,4903185,129111,2161,374095,51643,5
2021-01-05,Alabama,AL,01,4903185,136901,5498,379593,54761,8
2021-01-06,Alabama,AL,01,4903185,135933,4591,384184,54373,108
2021-01-07,Alabama,AL,01,4903185,136657,5046,389230,54661,86
2021-01-08,Alabama,AL,01,4903185,138712,5057,394287,55486,111
2021-01-09,Alabama,AL,01,4903185,141809,4863,399150,56724,108
2021-01-10,Alabama,AL,01,4903185,146104,2750,401900,58442,35
2021-01-11,Alabama,AL,01,4903185,145928,2100,404000,58372,13
2021-01-12,Alabama,AL,01,4903185,149876,3848,407848,59951,226
2021-01-13,Alabama,AL,01,4903185,147972,3147,410995,59191,187
2021-01-14,Alabama,AL,01,4903185,144404,3588,414583,57763,185
2021-01-15,Alabama,AL,01,4903185,140751,2945,417528,56302,85
2021-01-16,Alabama,AL,01,4903185,137338,3153,420681,54934,89
2021-01-17,Alabama,AL,01,4903185,132847,1917,422598,53140,1
2021-01-18,Alabama,AL,01,4903185,130236,1430,424028,52094,1
2021-01-19,Alabama,AL,01,4903185,131119,2515,426543,52448,5
2021-01-20,Alabama,AL,01,4903185,125157,3112,429655,50062,157
2021-01-21,Alabama,AL,01,4903185,120879,2881,432536,48352,96
2021-01-22,Alabama,AL,01,4903185,117144,3551,436087,46857,107
2021-01-23,Alabama,AL,01,4903185,112886,3355,439442,45155,171
2021-01-24,Alabama,AL,01,4903185,105049,1728,441170,42020,3
2021-01-25,Alabama,AL,01,4903185,102773,1839,443009,41109,2
2021-01-26,Alabama,AL,01,4903185,104768,2900,445909,41909,234
2021-01-27,Alabama,AL,01,4903185,103095,3177,449086,41238,276
2021-01-28,Alabama,AL,01,4903185,104348,3648,452734,41739,168
2021-01-29,Alabama,AL,01,4903185,102500,2848,455582,40999,226
2021-01-30,Alabama,AL,01,4903185,95138,0,455582,38054,0
2021-01-31,Alabama,AL,01,4903185,97395,4057,459639,38958,122
2021-02-01,Alabama,AL,01,4903185,95657,1221,460860,38262,0
2021-02-02,Alabama,AL,01,4903185,97269,2078,462938,38910,206
2021-02-03,Alabama,AL,01,4903185,96285,2118,465056,38513,309
2021-02-04,Alabama,AL,01,4903185,95418,2767,467823,38168,162
2021-02-05,Alabama,AL,01,4903185,91962,1496,469319,36783,84
2021-02-06,Alabama,AL,01,4903185,88062,1992,471311,35224,64
2021-02-07,Alabama,AL,01,4903185,82456,1112,472423,32981,2
2021-02-08,Alabama,AL,01,4903185,80444,925,473348,32178,8
2021-02-09,Alabama,AL,01,4903185,79144,1318,474666,31657,56
2021-02-10,Alabama,AL,01,4903185,75395,1401,476067,30158,309
2021-02-11,Alabama,AL,01,4903185,71214,1503,477570,28484,133
2021-02-12,Alabama,AL,01,4903185,64837,1097,478667,25933,159
2021-02-13,Alabama,AL,01,4903185,60686,1189,479856,24274,62
2021-02-14,Alabama,AL,01,4903185,63371,1075,480931,25349,0
2021-02-15,Alabama,AL,01,4903185,54917,674,481605,21966,2
2021-02-16,Alabama,AL,01,4903185,54076,883,482488,21628,13
2021-02-17,Alabama,AL,01,4903185,50573,679,483167,20229,89
2021-02-18,Alabama,AL,01,4903185,48277,1198,484365,19309,78
2021-02-19,Alabama,AL,01,4903185,43476,847,485212,17389,149
2021-02-20,Alabama,AL,01,4903185,41665,774,485986,16667,17
2021-02-21,Alabama,AL,01,4903185,38825,857,486843,15532,2
2021-02-22,Alabama,AL,01,4903185,37747,677,487520,15097,0
2021-02-23,Alabama,AL,01,4903185,39066,1453,488973,15625,68
2021-02-24,Alabama,AL,01,4903185,38884,1247,490220,15554,84
2021-02-25,Alabama,AL,01,4903185,37609,890,491110,15043,87
2021-02-26,Alabama,AL,01,4903185,35700,739,491849,14279,38
2021-02-27,Alabama,AL,01,4903185,35039,834,492683,14016,61
2021-02-28,Alabama,AL,01,4903185,33493,569,493252,13396,-1
2021-03-01,Alabama,AL,01,4903185,32093,517,493769,12838,2
2021-03-02,Alabama,AL,01,4903185,32040,652,494421,12816,60
2021-03-03,Alabama,AL,01,4903185,36665,2733,497154,14666,38
2021-03-04,Alabama,AL,01,4903185,37278,922,498076,14909,65
2021-03-05,Alabama,AL,01,4903185,36305,811,498887,14522,28
2021-03-06,Alabama,AL,01,4903185,35496,524,499411,14199,27
